# date time,time scale,cur mean,cur std,cur max,cur min,cur peak mean,cur peak std,cur peak count,cur peak width mean,cur peak width std,cur gap mean,cur gap std, vol mean,vol std,vol max,vol min,vol peak mean,vol peak std,vol peak count,vol peak width mean,vol peak width std,vol gap mean,vol gap std,score,label
32.218769,1.102515,0.331202,0.245660,0.841479,0.079701,0.840599,0.000719,3.000000,7.326706,0.063349,29.500000,5.500000,0.300085,0.256211,0.735043,0.002137,0.730057,0.004391,3.000000,14.942803,0.487810,28.500000,4.500000,0.373913,5.000000
32.258770,1.103893,0.338415,0.249491,0.843241,0.078820,0.837957,0.003805,3.000000,7.390070,0.031421,31.000000,1.000000,0.316111,0.252164,0.737180,0.000000,0.722222,0.010612,3.000000,15.192541,0.927678,30.000000,0.000000,0.426087,5.000000
32.298771,1.105272,0.350647,0.259783,0.842360,0.076178,0.835755,0.002202,2.000000,7.406368,0.071277,31.000000,0.000000,0.326068,0.260240,0.756410,0.000000,0.747863,0.008547,2.000000,13.953175,0.527369,30.000000,0.000000,0.413043,5.000000
32.338768,1.106650,0.343426,0.244293,0.842360,0.078820,0.836783,0.004089,3.000000,7.327959,0.201773,32.000000,2.000000,0.337906,0.250111,0.724359,0.002137,0.715100,0.006605,3.000000,13.509160,4.223332,32.000000,1.000000,0.426087,5.000000
32.378769,1.108029,0.326006,0.246228,0.840599,0.073536,0.837370,0.002311,3.000000,7.411377,0.040542,31.000000,2.000000,0.319359,0.248455,0.735043,0.000000,0.727208,0.005608,3.000000,12.914045,4.328259,32.000000,2.000000,0.491304,5.000000
32.418770,1.109407,0.303888,0.206280,0.840599,0.000000,0.837957,0.002642,2.000000,7.345927,0.049269,29.000000,0.000000,0.325524,0.238902,0.724359,0.000000,0.659544,0.090155,3.000000,18.433619,4.842835,41.000000,11.000000,0.230435,5.000000
3.418439,0.120000,0.481907,0.277872,0.922501,0.001761,0.844121,0.000000,1.000000,42.092033,0.000000,0.000000,0.000000,0.246047,0.227596,0.841880,0.021368,0.679487,0.000000,1.000000,28.368056,0.000000,0.000000,0.000000,0.204348,4.000000
3.458440,0.121378,0.452241,0.282906,0.994716,0.193307,0.989138,0.003398,3.000000,6.947234,0.133890,28.500000,0.500000,0.459231,0.269994,0.871795,0.038462,0.852564,0.013848,3.000000,13.998383,4.502196,30.500000,2.500000,0.386957,4.000000
3.498440,0.122757,0.524703,0.256465,0.992955,0.224130,0.985909,0.005185,3.000000,6.994526,0.044443,29.500000,4.500000,0.431282,0.248981,0.895299,0.053419,0.872507,0.021320,3.000000,11.813843,2.072763,29.500000,2.500000,0.413043,4.000000
3.538440,0.124135,0.582721,0.253216,0.991193,0.217085,0.987964,0.002311,3.000000,6.846886,0.301400,28.000000,0.000000,0.391731,0.313290,0.952991,0.029915,0.873219,0.008953,3.000000,10.685502,1.372248,29.500000,0.500000,0.386957,4.000000
3.578441,0.125514,0.565522,0.243781,0.989432,0.225011,0.986203,0.002311,3.000000,7.028082,0.045453,28.000000,4.000000,0.431175,0.317796,1.000000,0.055556,0.972222,0.023601,3.000000,12.468720,0.215598,28.500000,0.500000,0.373913,4.000000
3.618441,0.126892,0.572030,0.266921,0.990313,0.224130,0.988331,0.001303,4.000000,6.872119,0.271038,27.333333,2.494438,0.437137,0.292918,0.931624,0.042735,0.894765,0.027254,4.000000,10.712164,2.650612,27.666667,3.091206,0.478261,4.000000
3.658442,0.128271,0.574795,0.253495,0.997358,0.226772,0.992514,0.002887,4.000000,7.018115,0.066562,25.500000,1.500000,0.393782,0.265776,0.873932,0.057692,0.867521,0.007605,3.000000,12.968703,1.180936,26.500000,3.500000,0.530435,4.000000
3.698442,0.129649,0.561427,0.267000,0.996477,0.225011,0.991193,0.006859,3.000000,6.940954,0.040416,28.500000,0.500000,0.417393,0.256041,0.865385,0.040598,0.834046,0.005608,3.000000,12.336032,2.500105,26.500000,1.500000,0.452174,4.000000
3.738443,0.131028,0.591713,0.259353,1.000000,0.211801,0.990533,0.007960,4.000000,6.802356,0.414702,27.333333,2.494438,0.401880,0.269911,0.841880,0.032051,0.822115,0.012028,4.000000,10.484343,2.953062,26.666667,2.054805,0.491304,4.000000
3.778443,0.132406,0.562316,0.244960,0.990313,0.220608,0.988551,0.001438,3.000000,6.999031,0.006392,27.500000,0.500000,0.356517,0.255925,0.835470,0.038462,0.830484,0.004391,3.000000,12.994922,0.169879,29.000000,1.000000,0.491304,4.000000
3.818444,0.133785,0.583267,0.262907,0.994716,0.225011,0.991854,0.002100,4.000000,6.518153,0.873312,27.000000,0.000000,0.410791,0.263676,0.841880,0.049145,0.829594,0.015287,4.000000,9.723940,3.019459,28.333333,1.247219,0.413043,4.000000
3.858444,0.135163,0.583012,0.257911,0.992955,0.223250,0.983928,0.006660,4.000000,6.741863,0.322936,28.333333,4.189935,0.425043,0.260907,0.844017,0.055556,0.829594,0.016159,4.000000,10.563925,2.663177,27.333333,2.054805,0.439130,4.000000
3.898445,0.136542,0.565680,0.253161,0.975341,0.209159,0.968002,0.006984,3.000000,6.892498,0.005348,24.500000,0.500000,0.384060,0.255788,0.822650,0.040598,0.806268,0.011616,3.000000,12.669431,0.846546,25.500000,2.500000,0.543478,4.000000
3.938445,0.137920,0.535711,0.250355,0.959489,0.195949,0.950976,0.002722,3.000000,6.881756,0.033239,27.000000,0.000000,0.383226,0.243349,0.814102,0.034188,0.798433,0.011616,3.000000,12.668571,0.461132,26.500000,2.500000,0.543478,4.000000
3.978446,0.139299,0.518344,0.259833,0.948921,0.156319,0.941876,0.006005,4.000000,6.635709,0.653642,26.666667,3.091206,0.412543,0.251848,0.816239,0.029915,0.805021,0.009237,4.000000,10.746588,3.033984,28.333333,0.942809,0.439130,4.000000
4.018446,0.140677,0.513562,0.244604,0.928666,0.153677,0.921620,0.004701,4.000000,6.965421,0.255475,27.333333,2.054805,0.389573,0.270892,0.809829,0.023504,0.800214,0.011357,4.000000,11.489829,2.755956,27.000000,1.632993,0.634783,4.000000
4.058446,0.142056,0.471008,0.236940,0.917217,0.136944,0.908410,0.006590,3.000000,7.237446,0.089664,26.000000,1.000000,0.361624,0.263154,0.829060,0.029915,0.807692,0.015507,3.000000,12.942885,0.657673,28.500000,1.500000,0.621739,4.000000
5.978468,0.208224,0.441937,0.235307,0.884632,0.117569,0.877587,0.006590,3.000000,7.289900,0.034023,30.000000,6.000000,0.353526,0.249021,0.767094,0.021368,0.752849,0.014527,3.000000,16.090351,3.708975,30.500000,7.500000,0.647826,2.000000
7.978491,0.277148,0.440114,0.227456,0.881990,0.136063,0.875238,0.006199,3.000000,7.145131,0.225547,34.000000,7.000000,0.327543,0.240747,0.743590,0.010684,0.713675,0.021947,4.000000,10.684930,1.808097,22.666667,1.247219,0.595652,2.000000
32.018764,1.105622,0.426376,0.228290,0.885513,0.133421,0.876119,0.006681,3.000000,7.311994,0.046269,26.500000,0.500000,0.327671,0.242596,0.724359,0.008547,0.717949,0.007605,3.000000,12.939191,0.336861,28.000000,0.000000,0.582609,5.000000
32.138767,1.109758,0.358318,0.236668,0.854690,0.088507,0.849993,0.003321,3.000000,7.337850,0.050063,28.500000,0.500000,0.311004,0.243839,0.750000,0.000000,0.727208,0.016211,3.000000,14.953574,1.180318,29.500000,0.500000,0.491304,5.000000
32.178768,1.111136,0.321092,0.252561,0.846764,0.081462,0.842360,0.005033,3.000000,7.386318,0.114608,33.000000,5.000000,0.311004,0.252935,0.730769,0.002137,0.729345,0.002015,3.000000,14.712906,1.247069,32.000000,5.000000,0.347826,5.000000
32.218769,1.112515,0.331202,0.245660,0.841479,0.079701,0.840599,0.000719,3.000000,7.326706,0.063349,29.500000,5.500000,0.300085,0.256211,0.735043,0.002137,0.730057,0.004391,3.000000,14.942803,0.487810,28.500000,4.500000,0.373913,5.000000
32.258770,1.113893,0.338415,0.249491,0.843241,0.078820,0.837957,0.003805,3.000000,7.390070,0.031421,31.000000,1.000000,0.316111,0.252164,0.737180,0.000000,0.722222,0.010612,3.000000,15.192541,0.927678,30.000000,0.000000,0.426087,5.000000
32.298771,1.115272,0.350647,0.259783,0.842360,0.076178,0.835755,0.002202,2.000000,7.406368,0.071277,31.000000,0.000000,0.326068,0.260240,0.756410,0.000000,0.747863,0.008547,2.000000,13.953175,0.527369,30.000000,0.000000,0.413043,5.000000
32.338768,1.116650,0.343426,0.244293,0.842360,0.078820,0.836783,0.004089,3.000000,7.327959,0.201773,32.000000,2.000000,0.337906,0.250111,0.724359,0.002137,0.715100,0.006605,3.000000,13.509160,4.223332,32.000000,1.000000,0.426087,5.000000
32.378769,1.118029,0.326006,0.246228,0.840599,0.073536,0.837370,0.002311,3.000000,7.411377,0.040542,31.000000,2.000000,0.319359,0.248455,0.735043,0.000000,0.727208,0.005608,3.000000,12.914045,4.328259,32.000000,2.000000,0.491304,5.000000
32.418770,1.119407,0.303888,0.206280,0.840599,0.000000,0.837957,0.002642,2.000000,7.345927,0.049269,29.000000,0.000000,0.325524,0.238902,0.724359,0.000000,0.659544,0.090155,3.000000,18.433619,4.842835,41.000000,11.000000,0.230435,5.000000
3.418439,0.130000,0.481907,0.277872,0.922501,0.001761,0.844121,0.000000,1.000000,42.092033,0.000000,0.000000,0.000000,0.246047,0.227596,0.841880,0.021368,0.679487,0.000000,1.000000,28.368056,0.000000,0.000000,0.000000,0.204348,4.000000
3.458440,0.131378,0.452241,0.282906,0.994716,0.193307,0.989138,0.003398,3.000000,6.947234,0.133890,28.500000,0.500000,0.459231,0.269994,0.871795,0.038462,0.852564,0.013848,3.000000,13.998383,4.502196,30.500000,2.500000,0.386957,4.000000
3.498440,0.132757,0.524703,0.256465,0.992955,0.224130,0.985909,0.005185,3.000000,6.994526,0.044443,29.500000,4.500000,0.431282,0.248981,0.895299,0.053419,0.872507,0.021320,3.000000,11.813843,2.072763,29.500000,2.500000,0.413043,4.000000
3.538440,0.134135,0.582721,0.253216,0.991193,0.217085,0.987964,0.002311,3.000000,6.846886,0.301400,28.000000,0.000000,0.391731,0.313290,0.952991,0.029915,0.873219,0.008953,3.000000,10.685502,1.372248,29.500000,0.500000,0.386957,4.000000
3.578441,0.135514,0.565522,0.243781,0.989432,0.225011,0.986203,0.002311,3.000000,7.028082,0.045453,28.000000,4.000000,0.431175,0.317796,1.000000,0.055556,0.972222,0.023601,3.000000,12.468720,0.215598,28.500000,0.500000,0.373913,4.000000
3.618441,0.136892,0.572030,0.266921,0.990313,0.224130,0.988331,0.001303,4.000000,6.872119,0.271038,27.333333,2.494438,0.437137,0.292918,0.931624,0.042735,0.894765,0.027254,4.000000,10.712164,2.650612,27.666667,3.091206,0.478261,4.000000
3.658442,0.138271,0.574795,0.253495,0.997358,0.226772,0.992514,0.002887,4.000000,7.018115,0.066562,25.500000,1.500000,0.393782,0.265776,0.873932,0.057692,0.867521,0.007605,3.000000,12.968703,1.180936,26.500000,3.500000,0.530435,4.000000
3.698442,0.139649,0.561427,0.267000,0.996477,0.225011,0.991193,0.006859,3.000000,6.940954,0.040416,28.500000,0.500000,0.417393,0.256041,0.865385,0.040598,0.834046,0.005608,3.000000,12.336032,2.500105,26.500000,1.500000,0.452174,4.000000
3.738443,0.141028,0.591713,0.259353,1.000000,0.211801,0.990533,0.007960,4.000000,6.802356,0.414702,27.333333,2.494438,0.401880,0.269911,0.841880,0.032051,0.822115,0.012028,4.000000,10.484343,2.953062,26.666667,2.054805,0.491304,4.000000
3.778443,0.142406,0.562316,0.244960,0.990313,0.220608,0.988551,0.001438,3.000000,6.999031,0.006392,27.500000,0.500000,0.356517,0.255925,0.835470,0.038462,0.830484,0.004391,3.000000,12.994922,0.169879,29.000000,1.000000,0.491304,4.000000
3.818444,0.143785,0.583267,0.262907,0.994716,0.225011,0.991854,0.002100,4.000000,6.518153,0.873312,27.000000,0.000000,0.410791,0.263676,0.841880,0.049145,0.829594,0.015287,4.000000,9.723940,3.019459,28.333333,1.247219,0.413043,4.000000
3.858444,0.145163,0.583012,0.257911,0.992955,0.223250,0.983928,0.006660,4.000000,6.741863,0.322936,28.333333,4.189935,0.425043,0.260907,0.844017,0.055556,0.829594,0.016159,4.000000,10.563925,2.663177,27.333333,2.054805,0.439130,4.000000
3.898445,0.146542,0.565680,0.253161,0.975341,0.209159,0.968002,0.006984,3.000000,6.892498,0.005348,24.500000,0.500000,0.384060,0.255788,0.822650,0.040598,0.806268,0.011616,3.000000,12.669431,0.846546,25.500000,2.500000,0.543478,4.000000
3.938445,0.147920,0.535711,0.250355,0.959489,0.195949,0.950976,0.002722,3.000000,6.881756,0.033239,27.000000,0.000000,0.383226,0.243349,0.814102,0.034188,0.798433,0.011616,3.000000,12.668571,0.461132,26.500000,2.500000,0.543478,4.000000
3.978446,0.149299,0.518344,0.259833,0.948921,0.156319,0.941876,0.006005,4.000000,6.635709,0.653642,26.666667,3.091206,0.412543,0.251848,0.816239,0.029915,0.805021,0.009237,4.000000,10.746588,3.033984,28.333333,0.942809,0.439130,4.000000
4.018446,0.150677,0.513562,0.244604,0.928666,0.153677,0.921620,0.004701,4.000000,6.965421,0.255475,27.333333,2.054805,0.389573,0.270892,0.809829,0.023504,0.800214,0.011357,4.000000,11.489829,2.755956,27.000000,1.632993,0.634783,4.000000
4.058446,0.152056,0.471008,0.236940,0.917217,0.136944,0.908410,0.006590,3.000000,7.237446,0.089664,26.000000,1.000000,0.361624,0.263154,0.829060,0.029915,0.807692,0.015507,3.000000,12.942885,0.657673,28.500000,1.500000,0.621739,4.000000
5.978468,0.218224,0.441937,0.235307,0.884632,0.117569,0.877587,0.006590,3.000000,7.289900,0.034023,30.000000,6.000000,0.353526,0.249021,0.767094,0.021368,0.752849,0.014527,3.000000,16.090351,3.708975,30.500000,7.500000,0.647826,2.000000
7.978491,0.287148,0.440114,0.227456,0.881990,0.136063,0.875238,0.006199,3.000000,7.145131,0.225547,34.000000,7.000000,0.327543,0.240747,0.743590,0.010684,0.713675,0.021947,4.000000,10.684930,1.808097,22.666667,1.247219,0.595652,2.000000
32.018764,1.115622,0.426376,0.228290,0.885513,0.133421,0.876119,0.006681,3.000000,7.311994,0.046269,26.500000,0.500000,0.327671,0.242596,0.724359,0.008547,0.717949,0.007605,3.000000,12.939191,0.336861,28.000000,0.000000,0.582609,5.000000
32.138767,1.119758,0.358318,0.236668,0.854690,0.088507,0.849993,0.003321,3.000000,7.337850,0.050063,28.500000,0.500000,0.311004,0.243839,0.750000,0.000000,0.727208,0.016211,3.000000,14.953574,1.180318,29.500000,0.500000,0.491304,5.000000
32.178768,1.121136,0.321092,0.252561,0.846764,0.081462,0.842360,0.005033,3.000000,7.386318,0.114608,33.000000,5.000000,0.311004,0.252935,0.730769,0.002137,0.729345,0.002015,3.000000,14.712906,1.247069,32.000000,5.000000,0.347826,5.000000
32.218769,1.122515,0.331202,0.245660,0.841479,0.079701,0.840599,0.000719,3.000000,7.326706,0.063349,29.500000,5.500000,0.300085,0.256211,0.735043,0.002137,0.730057,0.004391,3.000000,14.942803,0.487810,28.500000,4.500000,0.373913,5.000000
32.258770,1.123893,0.338415,0.249491,0.843241,0.078820,0.837957,0.003805,3.000000,7.390070,0.031421,31.000000,1.000000,0.316111,0.252164,0.737180,0.000000,0.722222,0.010612,3.000000,15.192541,0.927678,30.000000,0.000000,0.426087,5.000000
32.298771,1.125272,0.350647,0.259783,0.842360,0.076178,0.835755,0.002202,2.000000,7.406368,0.071277,31.000000,0.000000,0.326068,0.260240,0.756410,0.000000,0.747863,0.008547,2.000000,13.953175,0.527369,30.000000,0.000000,0.413043,5.000000
32.338768,1.126650,0.343426,0.244293,0.842360,0.078820,0.836783,0.004089,3.000000,7.327959,0.201773,32.000000,2.000000,0.337906,0.250111,0.724359,0.002137,0.715100,0.006605,3.000000,13.509160,4.223332,32.000000,1.000000,0.426087,5.000000
32.378769,1.128029,0.326006,0.246228,0.840599,0.073536,0.837370,0.002311,3.000000,7.411377,0.040542,31.000000,2.000000,0.319359,0.248455,0.735043,0.000000,0.727208,0.005608,3.000000,12.914045,4.328259,32.000000,2.000000,0.491304,5.000000
32.418770,1.129407,0.303888,0.206280,0.840599,0.000000,0.837957,0.002642,2.000000,7.345927,0.049269,29.000000,0.000000,0.325524,0.238902,0.724359,0.000000,0.659544,0.090155,3.000000,18.433619,4.842835,41.000000,11.000000,0.230435,5.000000
3.418439,0.140000,0.481907,0.277872,0.922501,0.001761,0.844121,0.000000,1.000000,42.092033,0.000000,0.000000,0.000000,0.246047,0.227596,0.841880,0.021368,0.679487,0.000000,1.000000,28.368056,0.000000,0.000000,0.000000,0.204348,4.000000
3.458440,0.141378,0.452241,0.282906,0.994716,0.193307,0.989138,0.003398,3.000000,6.947234,0.133890,28.500000,0.500000,0.459231,0.269994,0.871795,0.038462,0.852564,0.013848,3.000000,13.998383,4.502196,30.500000,2.500000,0.386957,4.000000
3.498440,0.142757,0.524703,0.256465,0.992955,0.224130,0.985909,0.005185,3.000000,6.994526,0.044443,29.500000,4.500000,0.431282,0.248981,0.895299,0.053419,0.872507,0.021320,3.000000,11.813843,2.072763,29.500000,2.500000,0.413043,4.000000
3.538440,0.144135,0.582721,0.253216,0.991193,0.217085,0.987964,0.002311,3.000000,6.846886,0.301400,28.000000,0.000000,0.391731,0.313290,0.952991,0.029915,0.873219,0.008953,3.000000,10.685502,1.372248,29.500000,0.500000,0.386957,4.000000
3.578441,0.145514,0.565522,0.243781,0.989432,0.225011,0.986203,0.002311,3.000000,7.028082,0.045453,28.000000,4.000000,0.431175,0.317796,1.000000,0.055556,0.972222,0.023601,3.000000,12.468720,0.215598,28.500000,0.500000,0.373913,4.000000
3.618441,0.146892,0.572030,0.266921,0.990313,0.224130,0.988331,0.001303,4.000000,6.872119,0.271038,27.333333,2.494438,0.437137,0.292918,0.931624,0.042735,0.894765,0.027254,4.000000,10.712164,2.650612,27.666667,3.091206,0.478261,4.000000
3.658442,0.148271,0.574795,0.253495,0.997358,0.226772,0.992514,0.002887,4.000000,7.018115,0.066562,25.500000,1.500000,0.393782,0.265776,0.873932,0.057692,0.867521,0.007605,3.000000,12.968703,1.180936,26.500000,3.500000,0.530435,4.000000
3.698442,0.149649,0.561427,0.267000,0.996477,0.225011,0.991193,0.006859,3.000000,6.940954,0.040416,28.500000,0.500000,0.417393,0.256041,0.865385,0.040598,0.834046,0.005608,3.000000,12.336032,2.500105,26.500000,1.500000,0.452174,4.000000
3.738443,0.151028,0.591713,0.259353,1.000000,0.211801,0.990533,0.007960,4.000000,6.802356,0.414702,27.333333,2.494438,0.401880,0.269911,0.841880,0.032051,0.822115,0.012028,4.000000,10.484343,2.953062,26.666667,2.054805,0.491304,4.000000
3.778443,0.152406,0.562316,0.244960,0.990313,0.220608,0.988551,0.001438,3.000000,6.999031,0.006392,27.500000,0.500000,0.356517,0.255925,0.835470,0.038462,0.830484,0.004391,3.000000,12.994922,0.169879,29.000000,1.000000,0.491304,4.000000
3.818444,0.153785,0.583267,0.262907,0.994716,0.225011,0.991854,0.002100,4.000000,6.518153,0.873312,27.000000,0.000000,0.410791,0.263676,0.841880,0.049145,0.829594,0.015287,4.000000,9.723940,3.019459,28.333333,1.247219,0.413043,4.000000
3.858444,0.155163,0.583012,0.257911,0.992955,0.223250,0.983928,0.006660,4.000000,6.741863,0.322936,28.333333,4.189935,0.425043,0.260907,0.844017,0.055556,0.829594,0.016159,4.000000,10.563925,2.663177,27.333333,2.054805,0.439130,4.000000
3.898445,0.156542,0.565680,0.253161,0.975341,0.209159,0.968002,0.006984,3.000000,6.892498,0.005348,24.500000,0.500000,0.384060,0.255788,0.822650,0.040598,0.806268,0.011616,3.000000,12.669431,0.846546,25.500000,2.500000,0.543478,4.000000
3.938445,0.157920,0.535711,0.250355,0.959489,0.195949,0.950976,0.002722,3.000000,6.881756,0.033239,27.000000,0.000000,0.383226,0.243349,0.814102,0.034188,0.798433,0.011616,3.000000,12.668571,0.461132,26.500000,2.500000,0.543478,4.000000
3.978446,0.159299,0.518344,0.259833,0.948921,0.156319,0.941876,0.006005,4.000000,6.635709,0.653642,26.666667,3.091206,0.412543,0.251848,0.816239,0.029915,0.805021,0.009237,4.000000,10.746588,3.033984,28.333333,0.942809,0.439130,4.000000
4.018446,0.160677,0.513562,0.244604,0.928666,0.153677,0.921620,0.004701,4.000000,6.965421,0.255475,27.333333,2.054805,0.389573,0.270892,0.809829,0.023504,0.800214,0.011357,4.000000,11.489829,2.755956,27.000000,1.632993,0.634783,4.000000
4.058446,0.162056,0.471008,0.236940,0.917217,0.136944,0.908410,0.006590,3.000000,7.237446,0.089664,26.000000,1.000000,0.361624,0.263154,0.829060,0.029915,0.807692,0.015507,3.000000,12.942885,0.657673,28.500000,1.500000,0.621739,4.000000
5.978468,0.228224,0.441937,0.235307,0.884632,0.117569,0.877587,0.006590,3.000000,7.289900,0.034023,30.000000,6.000000,0.353526,0.249021,0.767094,0.021368,0.752849,0.014527,3.000000,16.090351,3.708975,30.500000,7.500000,0.647826,2.000000
7.978491,0.297148,0.440114,0.227456,0.881990,0.136063,0.875238,0.006199,3.000000,7.145131,0.225547,34.000000,7.000000,0.327543,0.240747,0.743590,0.010684,0.713675,0.021947,4.000000,10.684930,1.808097,22.666667,1.247219,0.595652,2.000000
32.018764,1.125622,0.426376,0.228290,0.885513,0.133421,0.876119,0.006681,3.000000,7.311994,0.046269,26.500000,0.500000,0.327671,0.242596,0.724359,0.008547,0.717949,0.007605,3.000000,12.939191,0.336861,28.000000,0.000000,0.582609,5.000000
32.138767,1.129758,0.358318,0.236668,0.854690,0.088507,0.849993,0.003321,3.000000,7.337850,0.050063,28.500000,0.500000,0.311004,0.243839,0.750000,0.000000,0.727208,0.016211,3.000000,14.953574,1.180318,29.500000,0.500000,0.491304,5.000000
32.178768,1.131136,0.321092,0.252561,0.846764,0.081462,0.842360,0.005033,3.000000,7.386318,0.114608,33.000000,5.000000,0.311004,0.252935,0.730769,0.002137,0.729345,0.002015,3.000000,14.712906,1.247069,32.000000,5.000000,0.347826,5.000000
32.218769,1.132515,0.331202,0.245660,0.841479,0.079701,0.840599,0.000719,3.000000,7.326706,0.063349,29.500000,5.500000,0.300085,0.256211,0.735043,0.002137,0.730057,0.004391,3.000000,14.942803,0.487810,28.500000,4.500000,0.373913,5.000000
32.258770,1.133893,0.338415,0.249491,0.843241,0.078820,0.837957,0.003805,3.000000,7.390070,0.031421,31.000000,1.000000,0.316111,0.252164,0.737180,0.000000,0.722222,0.010612,3.000000,15.192541,0.927678,30.000000,0.000000,0.426087,5.000000
32.298771,1.135272,0.350647,0.259783,0.842360,0.076178,0.835755,0.002202,2.000000,7.406368,0.071277,31.000000,0.000000,0.326068,0.260240,0.756410,0.000000,0.747863,0.008547,2.000000,13.953175,0.527369,30.000000,0.000000,0.413043,5.000000
32.338768,1.136650,0.343426,0.244293,0.842360,0.078820,0.836783,0.004089,3.000000,7.327959,0.201773,32.000000,2.000000,0.337906,0.250111,0.724359,0.002137,0.715100,0.006605,3.000000,13.509160,4.223332,32.000000,1.000000,0.426087,5.000000
32.378769,1.138029,0.326006,0.246228,0.840599,0.073536,0.837370,0.002311,3.000000,7.411377,0.040542,31.000000,2.000000,0.319359,0.248455,0.735043,0.000000,0.727208,0.005608,3.000000,12.914045,4.328259,32.000000,2.000000,0.491304,5.000000
32.418770,1.139407,0.303888,0.206280,0.840599,0.000000,0.837957,0.002642,2.000000,7.345927,0.049269,29.000000,0.000000,0.325524,0.238902,0.724359,0.000000,0.659544,0.090155,3.000000,18.433619,4.842835,41.000000,11.000000,0.230435,5.000000
3.418439,0.150000,0.481907,0.277872,0.922501,0.001761,0.844121,0.000000,1.000000,42.092033,0.000000,0.000000,0.000000,0.246047,0.227596,0.841880,0.021368,0.679487,0.000000,1.000000,28.368056,0.000000,0.000000,0.000000,0.204348,4.000000
3.458440,0.151378,0.452241,0.282906,0.994716,0.193307,0.989138,0.003398,3.000000,6.947234,0.133890,28.500000,0.500000,0.459231,0.269994,0.871795,0.038462,0.852564,0.013848,3.000000,13.998383,4.502196,30.500000,2.500000,0.386957,4.000000
3.498440,0.152757,0.524703,0.256465,0.992955,0.224130,0.985909,0.005185,3.000000,6.994526,0.044443,29.500000,4.500000,0.431282,0.248981,0.895299,0.053419,0.872507,0.021320,3.000000,11.813843,2.072763,29.500000,2.500000,0.413043,4.000000
3.538440,0.154135,0.582721,0.253216,0.991193,0.217085,0.987964,0.002311,3.000000,6.846886,0.301400,28.000000,0.000000,0.391731,0.313290,0.952991,0.029915,0.873219,0.008953,3.000000,10.685502,1.372248,29.500000,0.500000,0.386957,4.000000
3.578441,0.155514,0.565522,0.243781,0.989432,0.225011,0.986203,0.002311,3.000000,7.028082,0.045453,28.000000,4.000000,0.431175,0.317796,1.000000,0.055556,0.972222,0.023601,3.000000,12.468720,0.215598,28.500000,0.500000,0.373913,4.000000
3.618441,0.156892,0.572030,0.266921,0.990313,0.224130,0.988331,0.001303,4.000000,6.872119,0.271038,27.333333,2.494438,0.437137,0.292918,0.931624,0.042735,0.894765,0.027254,4.000000,10.712164,2.650612,27.666667,3.091206,0.478261,4.000000
3.658442,0.158271,0.574795,0.253495,0.997358,0.226772,0.992514,0.002887,4.000000,7.018115,0.066562,25.500000,1.500000,0.393782,0.265776,0.873932,0.057692,0.867521,0.007605,3.000000,12.968703,1.180936,26.500000,3.500000,0.530435,4.000000
3.698442,0.159649,0.561427,0.267000,0.996477,0.225011,0.991193,0.006859,3.000000,6.940954,0.040416,28.500000,0.500000,0.417393,0.256041,0.865385,0.040598,0.834046,0.005608,3.000000,12.336032,2.500105,26.500000,1.500000,0.452174,4.000000
3.738443,0.161028,0.591713,0.259353,1.000000,0.211801,0.990533,0.007960,4.000000,6.802356,0.414702,27.333333,2.494438,0.401880,0.269911,0.841880,0.032051,0.822115,0.012028,4.000000,10.484343,2.953062,26.666667,2.054805,0.491304,4.000000
3.778443,0.162406,0.562316,0.244960,0.990313,0.220608,0.988551,0.001438,3.000000,6.999031,0.006392,27.500000,0.500000,0.356517,0.255925,0.835470,0.038462,0.830484,0.004391,3.000000,12.994922,0.169879,29.000000,1.000000,0.491304,4.000000
3.818444,0.163785,0.583267,0.262907,0.994716,0.225011,0.991854,0.002100,4.000000,6.518153,0.873312,27.000000,0.000000,0.410791,0.263676,0.841880,0.049145,0.829594,0.015287,4.000000,9.723940,3.019459,28.333333,1.247219,0.413043,4.000000
3.858444,0.165163,0.583012,0.257911,0.992955,0.223250,0.983928,0.006660,4.000000,6.741863,0.322936,28.333333,4.189935,0.425043,0.260907,0.844017,0.055556,0.829594,0.016159,4.000000,10.563925,2.663177,27.333333,2.054805,0.439130,4.000000
3.898445,0.166542,0.565680,0.253161,0.975341,0.209159,0.968002,0.006984,3.000000,6.892498,0.005348,24.500000,0.500000,0.384060,0.255788,0.822650,0.040598,0.806268,0.011616,3.000000,12.669431,0.846546,25.500000,2.500000,0.543478,4.000000
3.938445,0.167920,0.535711,0.250355,0.959489,0.195949,0.950976,0.002722,3.000000,6.881756,0.033239,27.000000,0.000000,0.383226,0.243349,0.814102,0.034188,0.798433,0.011616,3.000000,12.668571,0.461132,26.500000,2.500000,0.543478,4.000000
3.978446,0.169299,0.518344,0.259833,0.948921,0.156319,0.941876,0.006005,4.000000,6.635709,0.653642,26.666667,3.091206,0.412543,0.251848,0.816239,0.029915,0.805021,0.009237,4.000000,10.746588,3.033984,28.333333,0.942809,0.439130,4.000000
4.018446,0.170677,0.513562,0.244604,0.928666,0.153677,0.921620,0.004701,4.000000,6.965421,0.255475,27.333333,2.054805,0.389573,0.270892,0.809829,0.023504,0.800214,0.011357,4.000000,11.489829,2.755956,27.000000,1.632993,0.634783,4.000000
